Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.2301268118618351,36,5.951504522772732,0.984243307309038,-0.019588529672269275,20
Nasion,7.421553249495895,0.9250515846559144,-0.4034939747870721,31,7.150853153964706,1.3425206209846225,0.5603520215800188,20
Orbital Right,8.52071152944311,2.1848032295058806,0.3519161063106447,35,8.057854818052714,2.1755771458816704,0.09761889085306485,20
Orbital Left,8.526366838915845,2.2790377060922737,0.4466045609027531,34,7.79381487322276,1.8957762285170336,-0.012339593020956408,19
Superius Right,8.419402008269767,1.5910126883325064,0.0340815576194226,34,7.854767806145371,1.802087603448327,-0.18853146618518252,21
Superius Left,8.241762007910168,1.7976872993055213,0.21131096165550214,34,7.582278692909839,1.4357297447113393,0.08336957416128092,21
Zygion Right,9.578171137377707,1.365983140094288,0.3887783029024278,31,9.085526887597347,1.1114215457198748,-0.5076114196573097,20
Zygion Left,9.649242720598423,1.6906852504189323,0.6034067996502678,31,8.99095127233252,1.3173115932721948,-0.28661186612979905,20
Rhinion,4.190447954595642,0.8785793791143687,0.6072100484559159,30,3.7941310160195303,0.7942674624254971,0.9774534542518716,17
Midphiltrum,13.991453004931593,2.3121119180374037,0.5791760255880763,36,13.479552682540092,2.3876221643222557,0.47706127573022433,21
