Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.2301268118618351,36,5.7986280474289815,1.1789949064742042,-0.5811191199512524,21
Nasion,7.710880375744733,1.4753499152339673,0.4674845100420475,36,6.97085389148411,1.5377026903588453,0.0005814841002222718,21
Orbital Right,9.791748947183557,7.822054447560114,5.076229663705539,36,8.390998184259162,2.5937306224776577,0.6018735441265738,21
Orbital Left,10.031414465738129,7.922073517880833,4.817310230097099,36,8.494355185547741,2.8135712447085552,0.9382618254468725,21
Superius Right,8.678622849783785,1.8830391907737365,0.47593708413017644,36,7.854767806145371,1.802087603448327,-0.18853146618518252,21
Superius Left,8.565572836984494,2.1990259326908697,0.7003268531519244,36,7.582278692909839,1.4357297447113393,0.08336957416128092,21
Zygion Right,10.11345241653222,3.513756625295203,3.2040834599720687,36,9.33988157951633,1.571738602893101,1.2083664570172452,21
Zygion Left,10.7343042325727,3.6488660220440936,2.7040668367655827,36,9.290128572597762,1.85548300235848,1.2630559015521647,21
Rhinion,4.93800097473655,1.8783253938062596,1.263312861480469,36,4.587506789637359,1.8255794279266782,1.250505485158212,21
Midphiltrum,13.991453004931593,2.3121119180374037,0.5791760255880763,36,13.479552682540092,2.3876221643222557,0.47706127573022433,21
