Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.23012681186183515,36,5.951504522772732,0.984243307309038,-0.0195885296722692,20
Nasion,7.421553249495896,0.9250515846559144,-0.40349397478707444,31,7.150853153964706,1.3425206209846223,0.560352021580019,20
Orbital Right,8.520711529443112,2.18480322950588,0.351916106310647,35,8.057854818052714,2.1755771458816704,0.09761889085306485,20
Orbital Left,8.526366838915843,2.2790377060922733,0.44660456090275763,34,7.79381487322276,1.8957762285170336,-0.012339593020956406,19
Superius Right,8.419402008269767,1.5910126883325064,0.03408155761942599,34,7.854767806145371,1.802087603448327,-0.18853146618518254,21
Superius Left,8.241762007910166,1.7976872993055215,0.21131096165550226,34,7.58227869290984,1.4357297447113393,0.08336957416127896,21
Zygion Right,9.578171137377709,1.365983140094288,0.3887783029024161,31,9.085526887597348,1.1114215457198748,-0.5076114196573145,20
Zygion Left,9.649242720598425,1.6906852504189323,0.6034067996502646,31,8.99095127233252,1.3173115932721946,-0.28661186612979905,20
Rhinion,4.190447954595642,0.8785793791143688,0.6072100484559154,30,3.7941310160195303,0.794267462425497,0.9774534542518711,17
Midphiltrum,13.991453004931593,2.3121119180374037,0.5791760255880765,36,13.479552682540092,2.3876221643222557,0.47706127573022433,21
