Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.23012681186183515,36,5.798628047428982,1.178994906474204,-0.581119119951255,21
Nasion,7.710880375744733,1.4753499152339673,0.4674845100420478,36,6.97085389148411,1.537702690358845,0.0005814841002223651,21
Orbital Right,9.791748947183558,7.822054447560115,5.076229663705539,36,8.39099818425916,2.5937306224776577,0.6018735441265757,21
Orbital Left,10.031414465738125,7.922073517880834,4.817310230097099,36,8.49435518554774,2.813571244708556,0.9382618254468739,21
Superius Right,8.678622849783785,1.8830391907737365,0.47593708413017627,36,7.854767806145371,1.802087603448327,-0.18853146618518254,21
Superius Left,8.565572836984494,2.1990259326908697,0.7003268531519244,36,7.58227869290984,1.4357297447113393,0.08336957416127896,21
Zygion Right,10.11345241653222,3.513756625295203,3.20408345997207,36,9.339881579516332,1.571738602893101,1.2083664570172419,21
Zygion Left,10.734304232572702,3.6488660220440927,2.7040668367655813,36,9.290128572597762,1.8554830023584798,1.263055901552166,21
Rhinion,4.93800097473655,1.8783253938062594,1.2633128614804696,36,4.58750678963736,1.8255794279266777,1.2505054851582111,21
Midphiltrum,13.991453004931593,2.3121119180374037,0.5791760255880765,36,13.479552682540092,2.3876221643222557,0.47706127573022433,21
