Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.23012681186183517,36,5.798628047428982,1.178994906474204,-0.5811191199512549,21
Nasion,7.710880375744733,1.475349915233967,0.4674845100420476,36,6.97085389148411,1.537702690358845,0.0005814841002223214,21
Orbital Right,9.791748947183558,7.822054447560114,5.076229663705539,36,8.390998184259164,2.5937306224776573,0.6018735441265719,21
Orbital Left,10.031414465738127,7.9220735178808335,4.8173102300971,36,8.494355185547741,2.813571244708556,0.9382618254468718,21
Superius Right,8.678622849783787,1.8830391907737367,0.4759370841301734,36,7.854767806145371,1.802087603448327,-0.18853146618518257,21
Superius Left,8.565572836984492,2.1990259326908697,0.7003268531519268,36,7.58227869290984,1.4357297447113393,0.08336957416127902,21
Zygion Right,10.113452416532219,3.513756625295203,3.20408345997207,36,9.339881579516332,1.571738602893101,1.2083664570172414,21
Zygion Left,10.7343042325727,3.6488660220440936,2.7040668367655827,36,9.29012857259776,1.8554830023584796,1.2630559015521692,21
Rhinion,4.93800097473655,1.8783253938062594,1.2633128614804694,36,4.587506789637359,1.825579427926678,1.250505485158212,21
Midphiltrum,13.991453004931591,2.3121119180374032,0.5791760255880789,36,13.479552682540092,2.3876221643222557,0.47706127573022444,21
