Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.58028026754992,1.29616509610788,0.539533651293885,7,6.10315209964587,0.918353584474173,0.126138073074405,7
Nasion,8.39240525321081,1.4976088972419,0.561697709516717,7,7.24584742851704,1.47104931240634,0.805659429853735,7
Orbital Right,6.90138949976797,1.27614767222761,0.773866732910732,7,7.34047083241442,0.342589936161218,-0.782561048779783,5
Orbital Left,7.1344837328298,2.24393863441971,0.772356528673022,7,6.27810660779469,1.2854830748953,-0.254270665968738,6
Superius Right,7.95339230932723,0.571653872013908,-0.213522297663848,7,7.86926801033653,1.4225170575566,-0.972773761386569,6
Superius Left,8.5021803060984,1.07852317443308,0.285204742926287,7,7.11831155010653,1.35985969236466,-0.174440757319843,7
Zygion Right,8.42453763039635,0.547497677263032,0.279935419688899,7,8.62229028818083,1.31775692503337,-0.19048336182001,6
Zygion Left,9.18564012666449,1.1157307590868,0.84032842249096,7,8.56399977401615,0.935236076965716,-1.16868780785161,5
Rhinion,4.35083459854983,0.825286361974007,-1.30575451977659,7,3.83914059063142,0.400845424821001,-0.322104488113567,6
Midphiltrum,16.0641606614201,2.84698070098261,0.0260353620298741,7,15.1564794885541,2.25157965112174,-0.187111271377097,7
