Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.58028026754992,1.29616509610788,0.539533651293885,7,6.10315209964587,0.918353584474173,0.126138073074405,7
Nasion,8.39240525321081,1.4976088972419,0.561697709516717,7,7.24584742851704,1.47104931240634,0.805659429853735,7
Orbital Right,6.90138949976797,1.27614767222761,0.773866732910732,7,7.54000831822525,2.6366794011182,0.594100428626972,7
Orbital Left,7.1344837328298,2.24393863441971,0.772356528673022,7,7.56769221154141,3.60808436970886,1.59412685810077,7
Superius Right,7.95339230932723,0.571653872013908,-0.213522297663848,7,7.43362759867556,1.73631034872932,-0.581889160145332,7
Superius Left,8.5021803060984,1.07852317443308,0.285204742926287,7,7.11831155010653,1.35985969236466,-0.174440757319843,7
Zygion Right,8.42453763039635,0.547497677263032,0.279935419688899,7,9.45153102099728,2.50210926592511,1.10505714574404,7
Zygion Left,9.18564012666449,1.1157307590868,0.84032842249096,7,9.08937446658809,3.04903293801355,1.15486239411099,7
Rhinion,4.35083459854983,0.825286361974007,-1.30575451977659,7,4.28185177423086,1.22713075509013,1.66195837376245,7
Midphiltrum,16.0641606614201,2.84698070098261,0.0260353620298741,7,15.1564794885541,2.25157965112174,-0.187111271377097,7
