Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.18733150773044,1.1042409324361844,-0.23012681186183517,36,5.951504522772732,0.984243307309038,-0.019588529672269216,20
Nasion,7.4215532494958945,0.9250515846559144,-0.40349397478707455,31,7.150853153964706,1.3425206209846223,0.5603520215800192,20
Orbital Right,8.520711529443112,2.1848032295058797,0.35191610631064496,35,8.057854818052716,2.175577145881671,0.09761889085306243,20
Orbital Left,8.526366838915843,2.2790377060922737,0.4466045609027554,34,7.793814873222758,1.8957762285170336,-0.012339593020956335,19
Superius Right,8.419402008269769,1.5910126883325064,0.034081557619426044,34,7.854767806145371,1.802087603448327,-0.18853146618518257,21
Superius Left,8.241762007910165,1.7976872993055215,0.21131096165550506,34,7.58227869290984,1.4357297447113393,0.08336957416127902,21
Zygion Right,9.578171137377705,1.365983140094288,0.3887783029024279,31,9.085526887597348,1.1114215457198748,-0.5076114196573145,20
Zygion Left,9.649242720598423,1.690685250418932,0.6034067996502709,31,8.99095127233252,1.3173115932721946,-0.2866118661297991,20
Rhinion,4.190447954595642,0.8785793791143688,0.6072100484559154,30,3.7941310160195303,0.7942674624254971,0.9774534542518711,17
Midphiltrum,13.991453004931591,2.3121119180374032,0.5791760255880789,36,13.479552682540092,2.3876221643222557,0.47706127573022444,21
