Landmark,Distance_mm
Glabella,6.05039606800235
Nasion,6.07662496577122
Sellion,6.71219762339514
Endocanthion Right,9.18370861719955
Endocanthion Left,7.66939437931732
Exocanthion Right,6.39331407574526
Exocanthion Left,7.41124951546627
Orbital Right,7.53856910558546
Orbital Left,6.97564765042688
Superius Right,9.08364104396057
Superius Left,13.5335111564908
Zygion Right,28.4354185969031
Zygion Left,29.6227818370409
Alar Curvature Right,12.4725121434485
Alar Curvature Left,13.8817545384798
